tower_id,lat,lon,mcc,mnc,operator,radio,cell_id,created_at,attribution,district,region_tag,elevation,slope,dist_to_river_km,water_occurrence_pct,ndvi,rainfall_3d_mm,rainfall_7d_mm,flood_label,label_source,flood_probability,risk_pct,confidence_score,risk_tier
MY-CELL-502-16-90623,3.0549,101.36681,502,16,Digi,LTE,90623,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,10.3,1.1,2.21,44.9,0.35,179.1,285.6,0,None,0.786,78.6,57.2,HIGH
MY-CELL-502-01-52107,3.03585,101.36411,502,1,U Mobile,LTE,52107,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,10.9,1.6,1.82,45.7,0.29,173.4,276.4,0,None,0.3935,39.4,21.3,MODERATE
MY-CELL-502-19-59811,3.05943,101.42438,502,19,Celcom,GSM,59811,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,11.9,0.5,3.03,0.0,0.42,159.7,274.4,0,None,0.7926,79.3,58.5,HIGH
MY-CELL-502-01-82082,3.08569,101.44069,502,1,U Mobile,LTE,82082,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,12.9,0.5,4.09,5.9,0.42,186.7,275.3,1,DID_Dec2021_Records,0.4191,41.9,16.2,MODERATE
MY-CELL-502-16-21411,3.03298,101.39784,502,16,Digi,LTE,21411,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,8.5,1.3,2.13,32.5,0.34,170.0,275.6,0,None,0.371,37.1,25.8,MODERATE
MY-CELL-502-01-18680,3.03298,101.43011,502,1,U Mobile,UMTS,18680,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,10.4,2.1,2.91,3.0,0.39,205.6,297.3,0,None,0.0926,9.3,81.5,LOW
MY-CELL-502-12-21111,3.08738,101.41085,502,12,Maxis,LTE,21111,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,19.3,0.5,6.01,0.3,0.46,203.5,316.1,0,None,0.1981,19.8,60.4,LOW
MY-CELL-502-12-18155,3.06302,101.38065,502,12,Maxis,LTE,18155,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,10.2,1.0,2.56,0.0,0.41,173.5,299.4,0,None,0.3718,37.2,25.6,MODERATE
MY-CELL-502-12-57254,3.02592,101.41084,502,12,Maxis,LTE,57254,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,13.9,0.5,3.76,3.6,0.42,168.1,287.3,0,None,0.1289,12.9,74.2,LOW
MY-CELL-502-19-40306,3.05628,101.44614,502,19,Celcom,LTE,40306,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,7.6,1.7,0.82,67.8,0.16,193.3,317.9,0,None,0.9581,95.8,91.6,HIGH
MY-CELL-502-19-26371,3.0261,101.39893,502,19,Celcom,UMTS,26371,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,9.8,1.1,2.61,0.8,0.39,205.3,335.6,0,None,0.2591,25.9,48.2,LOW
MY-CELL-502-01-12049,3.02603,101.44694,502,1,U Mobile,LTE,12049,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,10.6,1.7,2.68,3.7,0.4,194.0,327.1,0,None,0.1486,14.9,70.3,LOW
MY-CELL-502-12-30932,3.04726,101.32141,502,12,Maxis,UMTS,30932,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,20.3,2.0,6.55,0.0,0.49,187.2,292.7,0,None,0.0417,4.2,91.7,LOW
MY-CELL-502-12-82694,2.9826,101.42466,502,12,Maxis,LTE,82694,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,24.1,0.5,7.99,2.6,0.46,221.9,324.1,0,None,0.1365,13.6,72.7,LOW
MY-CELL-502-12-52642,2.98825,101.40261,502,12,Maxis,LTE,52642,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,18.5,0.9,6.27,4.8,0.45,171.8,289.5,0,None,0.0218,2.2,95.6,LOW
MY-CELL-502-01-14499,3.02313,101.39103,502,1,U Mobile,LTE,14499,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,9.7,1.7,2.24,33.4,0.3,175.2,263.2,0,None,0.2798,28.0,44.0,LOW
MY-CELL-502-01-22183,3.00962,101.40275,502,1,U Mobile,LTE,22183,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,15.0,1.3,4.21,3.0,0.43,149.6,253.3,0,None,0.061,6.1,87.8,LOW
MY-CELL-502-01-42711,3.04943,101.34037,502,1,U Mobile,LTE,42711,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,14.8,0.8,4.52,2.7,0.46,232.2,344.8,0,None,0.1094,10.9,78.1,LOW
MY-CELL-502-01-58354,3.01276,101.39341,502,1,U Mobile,UMTS,58354,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,12.8,1.2,3.37,0.0,0.45,186.5,333.4,0,None,0.4543,45.4,9.1,MODERATE
MY-CELL-502-01-92018,2.99763,101.41071,502,1,U Mobile,LTE,92018,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,18.2,1.4,5.81,2.9,0.38,213.6,334.9,0,None,0.035,3.5,93.0,LOW
MY-CELL-502-12-78497,3.08397,101.44434,502,12,Maxis,GSM,78497,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,14.7,0.7,3.82,5.8,0.36,199.7,342.6,1,DID_Dec2021_Records,0.3472,34.7,30.6,LOW
MY-CELL-502-01-87505,3.03323,101.38445,502,1,U Mobile,LTE,87505,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,4.8,0.9,0.9,73.3,0.13,146.2,257.2,1,JRC_Surface_Water_Occurrence,0.9913,99.1,98.3,HIGH
MY-CELL-502-16-71135,3.04203,101.37575,502,16,Digi,LTE,71135,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,3.7,1.4,0.52,74.6,0.23,165.4,270.6,1,JRC_Surface_Water_Occurrence,0.9878,98.8,97.6,HIGH
MY-CELL-502-12-48467,2.99726,101.38495,502,12,Maxis,LTE,48467,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,17.2,0.6,4.78,3.5,0.5,144.8,257.6,0,None,0.0426,4.3,91.5,LOW
MY-CELL-502-12-96831,3.02367,101.42746,502,12,Maxis,GSM,96831,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,14.0,1.6,3.85,0.5,0.38,198.0,312.5,0,None,0.2847,28.5,43.1,LOW
MY-CELL-502-01-96416,3.04333,101.40986,502,1,U Mobile,LTE,96416,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,12.7,1.4,3.34,1.6,0.46,192.3,291.6,0,None,0.1918,19.2,61.6,LOW
MY-CELL-502-01-80091,3.00547,101.38411,502,1,U Mobile,LTE,80091,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,16.4,1.4,3.86,0.6,0.48,160.6,282.4,0,None,0.0849,8.5,83.0,LOW
MY-CELL-502-19-55525,3.05127,101.4154,502,19,Celcom,LTE,55525,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,15.3,0.8,3.84,4.9,0.45,205.6,344.1,0,None,0.0442,4.4,91.2,LOW
MY-CELL-502-19-84290,3.02198,101.40291,502,19,Celcom,GSM,84290,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,11.7,0.8,3.24,1.2,0.4,183.1,298.2,0,None,0.4858,48.6,2.8,MODERATE
MY-CELL-502-16-40746,3.03125,101.42906,502,16,Digi,LTE,40746,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,12.2,1.6,3.12,3.0,0.51,178.4,329.2,0,None,0.1077,10.8,78.5,LOW
MY-CELL-502-16-64045,3.02195,101.37894,502,16,Digi,GSM,64045,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,10.0,0.8,2.01,36.2,0.33,179.4,300.1,0,None,0.2695,27.0,46.1,LOW
MY-CELL-502-12-49790,3.09557,101.39017,502,12,Maxis,UMTS,49790,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,20.4,1.2,6.27,1.3,0.37,173.8,296.6,0,None,0.0956,9.6,80.9,LOW
MY-CELL-502-01-50764,3.0396,101.38824,502,1,U Mobile,LTE,50764,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,6.6,0.6,0.92,73.4,0.18,162.9,275.2,0,None,0.9935,99.3,98.7,HIGH
MY-CELL-502-01-66835,3.00827,101.35609,502,1,U Mobile,LTE,66835,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,15.1,0.6,4.41,3.7,0.46,212.1,337.9,0,None,0.0456,4.6,90.9,LOW
MY-CELL-502-19-83744,3.06468,101.40888,502,19,Celcom,LTE,83744,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,12.5,0.7,4.22,4.0,0.46,197.9,365.7,0,None,0.1699,17.0,66.0,LOW
MY-CELL-502-01-28589,3.00337,101.40783,502,1,U Mobile,UMTS,28589,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,17.6,1.8,5.11,4.9,0.46,177.1,298.5,0,None,0.0187,1.9,96.3,LOW
MY-CELL-502-12-53525,3.04627,101.40015,502,12,Maxis,GSM,53525,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,8.7,1.1,2.34,32.6,0.32,242.9,324.9,0,None,0.1863,18.6,62.7,LOW
MY-CELL-502-19-73208,2.98121,101.39296,502,19,Celcom,UMTS,73208,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,21.7,0.5,6.68,2.1,0.5,186.6,280.4,0,None,0.0382,3.8,92.4,LOW
MY-CELL-502-12-10301,3.00015,101.35754,502,12,Maxis,GSM,10301,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,15.6,1.5,5.08,1.5,0.45,186.1,286.3,0,None,0.0212,2.1,95.8,LOW
MY-CELL-502-12-76235,3.04591,101.38738,502,12,Maxis,LTE,76235,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,9.8,1.5,1.05,52.5,0.25,168.5,291.3,0,None,0.3389,33.9,32.2,LOW
MY-CELL-502-12-75726,3.06215,101.38972,502,12,Maxis,UMTS,75726,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,9.5,1.1,2.68,4.0,0.48,155.0,260.0,0,None,0.0643,6.4,87.1,LOW
MY-CELL-502-12-16102,3.04514,101.37593,502,12,Maxis,GSM,16102,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,5.1,0.9,0.73,90.9,0.11,153.5,277.3,1,JRC_Surface_Water_Occurrence,0.994,99.4,98.8,HIGH
MY-CELL-502-12-36641,3.03653,101.39516,502,12,Maxis,LTE,36641,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,11.5,1.7,1.73,39.6,0.27,216.7,316.1,0,None,0.2998,30.0,40.0,LOW
MY-CELL-502-12-33093,3.03097,101.41212,502,12,Maxis,LTE,33093,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Klang,Suburban_Fringe,13.9,1.6,3.7,1.1,0.44,104.0,198.6,0,None,0.0545,5.5,89.1,LOW
