tower_id,lat,lon,mcc,mnc,operator,radio,cell_id,created_at,attribution,district,region_tag,elevation,slope,dist_to_river_km,water_occurrence_pct,ndvi,rainfall_3d_mm,rainfall_7d_mm,flood_label,label_source
MY-CELL-502-12-98891,3.02845,101.4739,502,12,Maxis,GSM,98891,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Gombak / Fringe,Suburban_Fringe,42.2,2.8,3.57,1.3,0.43,105.6,186.6,0,None
MY-CELL-502-19-11062,3.05569,101.5214,502,19,Celcom,LTE,11062,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,11.5,1.7,2.12,59.2,0.17,206.8,319.6,1,DID_Dec2021_Records
MY-CELL-502-12-31545,3.08359,101.51229,502,12,Maxis,GSM,31545,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,12.3,0.8,2.01,38.0,0.27,131.9,234.0,0,None
MY-CELL-502-16-19348,3.05539,101.52227,502,16,Digi,LTE,19348,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,7.9,1.3,2.03,47.0,0.36,208.8,310.1,1,DID_Dec2021_Records
MY-CELL-502-19-99930,3.07433,101.53324,502,19,Celcom,GSM,99930,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,4.5,1.4,0.72,66.4,0.28,214.5,317.5,1,DID_Dec2021_Records
MY-CELL-502-16-82592,3.05697,101.49524,502,16,Digi,LTE,82592,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,15.6,1.2,4.63,2.1,0.47,158.3,266.2,0,None
MY-CELL-502-12-60343,3.11288,101.56266,502,12,Maxis,GSM,60343,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Petaling Jaya,Urban_Core,35.4,4.1,3.35,1.4,0.39,79.3,162.1,0,None
MY-CELL-502-16-98858,3.08268,101.48096,502,16,Digi,LTE,98858,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,17.0,0.8,5.0,6.1,0.43,214.5,325.5,0,None
MY-CELL-502-16-93460,3.0295,101.51696,502,16,Digi,LTE,93460,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Gombak / Fringe,Suburban_Fringe,49.5,5.6,4.24,0.9,0.49,122.9,206.6,0,None
MY-CELL-502-12-64693,3.07373,101.53177,502,12,Maxis,GSM,64693,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,4.4,1.5,0.72,85.5,0.05,155.4,234.8,1,DID_Dec2021_Records
MY-CELL-502-19-36432,3.05676,101.52562,502,19,Celcom,GSM,36432,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,7.7,1.6,1.64,66.0,0.19,225.7,315.0,1,DID_Dec2021_Records
MY-CELL-502-16-67854,3.08705,101.50755,502,16,Digi,UMTS,67854,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,8.0,1.2,2.61,3.8,0.43,133.3,242.0,0,None
MY-CELL-502-19-11324,3.05415,101.51584,502,19,Celcom,LTE,11324,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,8.9,1.5,2.76,3.7,0.39,172.2,266.3,0,None
MY-CELL-502-01-45909,3.06771,101.51014,502,1,U Mobile,UMTS,45909,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,10.4,1.7,2.59,1.0,0.47,171.7,269.8,0,None
MY-CELL-502-01-82124,3.0801,101.50821,502,1,U Mobile,LTE,82124,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,9.9,0.7,2.42,30.1,0.27,234.1,344.6,0,None
MY-CELL-502-01-35289,3.08732,101.53699,502,1,U Mobile,LTE,35289,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,5.8,1.3,1.12,66.1,0.17,200.4,321.8,1,DID_Dec2021_Records
MY-CELL-502-16-25485,3.04599,101.52714,502,16,Digi,LTE,25485,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,8.5,0.9,2.11,40.0,0.17,147.1,277.6,1,DID_Dec2021_Records
MY-CELL-502-19-14748,3.06331,101.50614,502,19,Celcom,GSM,14748,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,14.5,1.1,3.23,4.2,0.45,262.0,388.8,0,None
MY-CELL-502-16-13709,3.0605,101.53799,502,16,Digi,UMTS,13709,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,4.4,0.7,0.23,76.4,0.15,166.1,254.8,1,DID_Dec2021_Records
MY-CELL-502-16-65771,3.05693,101.52615,502,16,Digi,UMTS,65771,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,7.0,0.7,1.57,69.2,0.22,184.8,317.0,1,DID_Dec2021_Records
MY-CELL-502-01-35470,3.10531,101.53626,502,1,U Mobile,GSM,35470,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,11.3,0.8,2.89,6.0,0.45,159.1,266.2,0,None
MY-CELL-502-12-49298,3.0781,101.53259,502,12,Maxis,LTE,49298,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,3.6,0.5,0.36,93.4,0.17,150.0,268.4,1,DID_Dec2021_Records
MY-CELL-502-12-71629,3.04478,101.50342,502,12,Maxis,UMTS,71629,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,14.0,1.0,4.4,1.8,0.4,186.2,283.7,0,None
MY-CELL-502-12-38016,3.08836,101.5088,502,12,Maxis,UMTS,38016,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,10.7,1.2,2.53,2.5,0.39,170.6,291.9,0,None
MY-CELL-502-12-77641,3.11244,101.53495,502,12,Maxis,LTE,77641,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,13.9,0.7,3.64,3.2,0.47,143.3,261.5,0,None
MY-CELL-502-01-32700,3.09065,101.53221,502,1,U Mobile,GSM,32700,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0,Shah Alam (Central),Urban_Core,6.0,1.5,1.21,58.6,0.13,144.3,255.0,1,DID_Dec2021_Records
