tower_id,lat,lon,mcc,mnc,operator,radio,cell_id,created_at,attribution
MY-CELL-502-16-90623,3.0549,101.36681,502,16,Digi,LTE,90623,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-52107,3.03585,101.36411,502,1,U Mobile,LTE,52107,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-59811,3.05943,101.42438,502,19,Celcom,GSM,59811,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-82082,3.08569,101.44069,502,1,U Mobile,LTE,82082,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-16-21411,3.03298,101.39784,502,16,Digi,LTE,21411,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-18680,3.03298,101.43011,502,1,U Mobile,UMTS,18680,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-21111,3.08738,101.41085,502,12,Maxis,LTE,21111,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-18155,3.06302,101.38065,502,12,Maxis,LTE,18155,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-57254,3.02592,101.41084,502,12,Maxis,LTE,57254,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-40306,3.05628,101.44614,502,19,Celcom,LTE,40306,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-19-26371,3.0261,101.39893,502,19,Celcom,UMTS,26371,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-12049,3.02603,101.44694,502,1,U Mobile,LTE,12049,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-30932,3.04726,101.32141,502,12,Maxis,UMTS,30932,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-82694,2.9826,101.42466,502,12,Maxis,LTE,82694,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-52642,2.98825,101.40261,502,12,Maxis,LTE,52642,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-14499,3.02313,101.39103,502,1,U Mobile,LTE,14499,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-22183,3.00962,101.40275,502,1,U Mobile,LTE,22183,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-42711,3.04943,101.34037,502,1,U Mobile,LTE,42711,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-58354,3.01276,101.39341,502,1,U Mobile,UMTS,58354,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-01-92018,2.99763,101.41071,502,1,U Mobile,LTE,92018,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
MY-CELL-502-12-78497,3.08397,101.44434,502,12,Maxis,GSM,78497,2023-05-15,Data from OpenCelliD licensed under CC BY-SA 4.0
